station_id,timestamp,temp,pressure,humidity
AWS_001,2020-01-01 00:10:00,0.71,1008.89,86.1
AWS_001,2020-01-01 00:20:00,0.75,1008.76,85.2
AWS_001,2020-01-01 00:30:00,0.73,1008.66,85.1
AWS_001,2020-01-01 00:40:00,0.37,1008.64,86.3
AWS_001,2020-01-01 00:50:00,0.33,1008.61,87.4
AWS_001,2020-01-01 01:00:00,0.34,1008.44,87.1
AWS_001,2020-01-01 01:10:00,0.19,1008.49,87.4
AWS_001,2020-01-01 01:20:00,0.03,1008.4,88.1
AWS_001,2020-01-01 01:30:00,0.11,1008.29,88.1
AWS_001,2020-01-01 01:40:00,0.22,1008.28,87.4
AWS_001,2020-01-01 01:50:00,-0.04,1008.24,87.5
AWS_001,2020-01-01 02:00:00,-0.21,1008.32,89.1
AWS_001,2020-01-01 02:10:00,-0.1,1008.24,88.6
AWS_001,2020-01-01 02:20:00,-0.16,1008.35,88.1
AWS_001,2020-01-01 02:30:00,-0.22,1008.3,88.9
AWS_001,2020-01-01 02:40:00,-0.06,1008.4,88.2
AWS_001,2020-01-01 02:50:00,-0.17,1008.39,88.6
AWS_001,2020-01-01 03:00:00,-0.05,1008.46,88.5
AWS_001,2020-01-01 03:10:00,-0.21,1008.15,88.7
AWS_001,2020-01-01 03:20:00,-0.77,1008.07,89.2
AWS_001,2020-01-01 03:30:00,-0.93,1008.12,90.6
AWS_001,2020-01-01 03:40:00,-0.86,1008.04,90.8
AWS_001,2020-01-01 03:50:00,-0.87,1008.16,90.9
AWS_001,2020-01-01 04:00:00,-1.02,1008.0,90.9
AWS_001,2020-01-01 04:10:00,-1.15,1007.76,91.4
AWS_001,2020-01-01 04:20:00,-1.08,1007.84,91.7
AWS_001,2020-01-01 04:30:00,-1.59,1007.85,90.5
AWS_001,2020-01-01 04:40:00,-1.82,1008.02,92.1
AWS_001,2020-01-01 04:50:00,-1.84,1007.92,92.4
AWS_001,2020-01-01 05:00:00,-1.84,1007.63,93.2
AWS_001,2020-01-01 05:10:00,-2.14,1007.63,92.3
AWS_001,2020-01-01 05:20:00,-2.34,1007.9,93.4
AWS_001,2020-01-01 05:30:00,-2.2,1007.99,93.8
AWS_001,2020-01-01 05:40:00,-2.3,1007.85,93.7
AWS_001,2020-01-01 05:50:00,-2.4,1007.81,94.1
AWS_001,2020-01-01 06:00:00,-2.51,1007.81,94.0
AWS_001,2020-01-01 06:10:00,-2.83,1007.91,94.1
AWS_001,2020-01-01 06:20:00,-2.79,1008.06,94.6
AWS_001,2020-01-01 06:30:00,-2.74,1008.22,94.8
AWS_001,2020-01-01 06:40:00,-2.63,1008.19,95.0
